frequency=10000
wave0	Time
1.436064	0.145224
1.431040	0.145238
1.431040	0.145241
1.426016	0.145245
1.436064	0.145247
1.436064	0.145250
1.426016	0.145253
1.436064	0.145256
1.431040	0.145258
1.436064	0.145261
1.431040	0.145264
1.426016	0.145269
1.426016	0.145277
1.436064	0.145281
1.431040	0.145286
1.431040	0.145290
1.426016	0.145296
1.431040	0.145298
1.431040	0.145301
1.426016	0.145304
1.431040	0.145306
1.431040	0.145309
1.431040	0.145312
1.431040	0.145315
1.431040	0.145317
1.426016	0.145320
1.431040	0.145323
1.431040	0.145326
1.431040	0.145328
1.436064	0.145331
1.426016	0.145334
1.431040	0.145336
1.426016	0.145339
1.436064	0.145342
1.436064	0.145344
1.431040	0.145347
1.431040	0.145350
1.426016	0.145352
1.431040	0.145355
1.436064	0.145358
1.436064	0.145360
1.436064	0.145363
1.436064	0.145366
1.431040	0.145368
1.436064	0.145371
1.436064	0.145374
1.431040	0.145377
1.431040	0.145379
1.431040	0.145382
1.431040	0.145385
1.431040	0.145387
1.431040	0.145390
1.426016	0.145393
1.436064	0.145395
1.431040	0.145398
1.436064	0.145401
1.431040	0.145403
1.436064	0.145406
1.436064	0.145409
1.431040	0.145411
1.436064	0.145414
1.436064	0.145417
1.436064	0.145420
1.436064	0.145422
1.431040	0.145425
1.431040	0.145427
1.431040	0.145430
1.431040	0.145433
1.436064	0.145436
1.431040	0.145438
1.436064	0.145441
1.436064	0.145444
1.431040	0.145446
1.426016	0.145449
1.431040	0.145452
1.436064	0.145454
1.436064	0.145457
1.426016	0.145459
1.420992	0.145462
1.436064	0.145465
1.431040	0.145468
1.436064	0.145470
1.436064	0.145473
1.436064	0.145476
1.431040	0.145478
1.431040	0.145481
1.436064	0.145484
1.426016	0.145486
1.436064	0.145489
1.436064	0.145492
1.436064	0.145494
1.441088	0.145497
1.431040	0.145500
1.436064	0.145502
1.431040	0.145505
1.436064	0.145508
1.426016	0.145511
1.420992	0.145513
1.436064	0.145516
1.431040	0.145519
1.436064	0.145521
1.431040	0.145524
1.431040	0.145526
1.426016	0.145529
1.436064	0.145532
1.441088	0.145534
1.436064	0.145537
1.436064	0.145540
1.431040	0.145542
1.431040	0.145545
1.436064	0.145548
1.431040	0.145550
1.431040	0.145553
1.431040	0.145556
1.426016	0.145558
1.431040	0.145561
1.431040	0.145564
1.436064	0.145566
1.431040	0.145569
1.420992	0.145571
1.431040	0.145574
1.431040	0.145577
1.420992	0.145580
1.431040	0.145582
1.426016	0.145585
1.431040	0.145588
1.431040	0.145590
1.431040	0.145593
1.436064	0.145595
1.431040	0.145598
1.431040	0.145601
1.431040	0.145603
1.436064	0.145606
1.431040	0.145609
1.431040	0.145611
1.431040	0.145614
1.436064	0.145617
1.431040	0.145619
1.436064	0.145622
1.431040	0.145625
1.431040	0.145627
1.431040	0.145630
1.426016	0.145632
1.431040	0.145635
1.426016	0.145638
1.420992	0.145640
1.436064	0.145643
1.436064	0.145646
1.436064	0.145648
1.431040	0.145651
1.431040	0.145653
1.436064	0.145656
1.436064	0.145659
1.420992	0.145662
1.436064	0.145664
1.426016	0.145667
1.426016	0.145669
1.426016	0.145672
1.426016	0.145675
1.431040	0.145677
1.431040	0.145680
1.431040	0.145682
1.431040	0.145685
1.436064	0.145688
1.431040	0.145691
